{'pImmuneKill': 0.6, 'pCancerMult': 0.01, 'pCancerSpawn': 0.01}
4 runs over 4000 iterations

AverageImmune, VarianceImmune, StdDefImmune, AverageBacteria, VarianceBacteria, StdDefBacteria
0.002,0.0,0.0,1.25e-05,1.5625e-10,1.25e-05
0.002,0.0,0.0,1.25e-05,1.5625e-10,1.25e-05
0.002,0.0,0.0,1.25e-05,1.5625e-10,1.25e-05
0.002,0.0,0.0,1.25e-05,1.5625e-10,1.25e-05
0.002,0.0,0.0,1.25e-05,1.5625e-10,1.25e-05
0.002,0.0,0.0,1.25e-05,1.5625e-10,1.25e-05
0.002,0.0,0.0,1.25e-05,1.5625e-10,1.25e-05
0.002,0.0,0.0,1.25e-05,1.5625e-10,1.25e-05
0.002,0.0,0.0,1.25e-05,1.5625e-10,1.25e-05
0.002,0.0,0.0,1.25e-05,1.5625e-10,1.25e-05
